date,Adjusted,x50day.SMA,x200day.SMA,cross
2018-05-16,184.104141,174.42180071999996,167.88550038499994,NA
2018-05-17,182.939926,174.65200062,168.08275036999993,NA
2018-05-18,182.274643,174.89120074000002,168.26745037999993,NA
2018-05-21,183.566071,175.07860066,168.41330037499992,NA
2018-05-22,183.106216,175.23160084,168.57360036499995,NA
2018-05-23,184.280273,175.3404009,168.72745038999994,NA
2018-05-24,184.074799,175.50820089999993,168.87520040499993,NA
2018-05-25,184.495499,175.70240073999997,169.01555036499994,NA
2018-05-29,183.830231,175.90100089999999,169.15315038499998,NA
2018-05-30,183.438889,176.0986007,169.31605031999993,NA
2018-05-31,182.82251,176.34260063999997,169.4661503399999,NA
2018-06-01,186.119507,176.57520044,169.6012502849999,NA
2018-06-04,187.675095,176.95460046,169.74445027999988,NA
2018-06-05,189.123032,177.41420038,169.8988503049999,NA
2018-06-06,189.778519,177.98160030000003,170.07610028999989,NA
2018-06-07,189.269806,178.40580014000003,170.25850026999987,NA
2018-06-08,187.547913,178.90820036000002,170.43975026999985,NA
2018-06-11,187.088089,179.41260038000001,170.59935025999988,NA
2018-06-12,188.115341,179.88160032000005,170.75560025999988,NA
2018-06-13,186.569565,180.39360044,170.9206502349999,NA
2018-06-14,186.667404,180.83980040000003,171.07485021499988,NA
2018-06-15,184.749863,181.22360044000004,171.2215002249999,NA
2018-06-18,184.652008,181.5444003,171.3511501849999,NA
2018-06-19,181.668076,181.9516003,171.4781001799999,NA
2018-06-20,182.460541,182.26440027999996,171.58655018999988,NA
2018-06-21,181.443069,182.52940027999998,171.6988001749999,NA
2018-06-22,180.914749,182.78980038,171.8157001999999,NA
2018-06-25,178.224304,183.00540036000007,171.93075016999992,NA
2018-06-26,180.435379,183.15420040000004,172.03530018499995,NA
2018-06-27,180.171219,183.32640012000005,172.1643001249999,NA
2018-06-28,181.48220800000001,183.44480010000004,172.27760014499992,NA
2018-06-29,181.100647,183.59800018,172.40080013999992,NA
2018-07-02,183.125809,183.84420014,172.52810017499993,NA
2018-07-03,179.936417,184.27339998,172.67260014499993,NA
2018-07-05,181.384354,184.64699984000003,172.79280010999994,NA
2018-07-06,183.898682,185.09619968000004,172.92645008999997,NA
2018-07-09,186.452164,185.58259982000007,173.07265011499996,NA
2018-07-10,186.227173,186.10979984000005,173.24520008999997,NA
2018-07-11,183.810638,186.67039981999997,173.43000012499996,NA
2018-07-12,186.89241,187.12280001999997,173.60995015499992,NA
2018-07-13,187.185898,187.56139987999998,173.81235013499995,NA
2018-07-16,186.775024,187.85659977999995,174.00330014999997,NA
2018-07-17,187.303299,188.13699988,174.18670018999993,NA
2018-07-18,186.276047,188.28939978,174.37755017999996,NA
2018-07-19,187.72403,188.39419958,174.55895017499995,NA
2018-07-20,187.293564,188.51079961999997,174.74930020999997,NA
2018-07-23,187.459839,188.59239963999997,174.93410023999994,NA
2018-07-24,188.819748,188.62379979999997,175.12475026499996,NA
2018-07-25,190.600342,188.71199987999998,175.31280026999994,NA
2018-07-26,190.00354,188.84540013999998,175.51040028999995,NA
2018-07-27,186.843521,189.00080024,175.70225034499992,NA
2018-07-30,185.796677,189.05680029999996,175.87765035499993,NA
2018-07-31,186.168427,189.11520027999998,176.04445035999993,NA
2018-08-01,197.135651,189.19480017999996,176.21590032499998,NA
2018-08-02,202.898071,189.47220007999994,176.43845029999997,NA
