Day of Week,Director,Genre,Movie Title,Release Date,Studio,IMDb Rating,MovieLens Rating
Friday,Robert Schwentke,action,The Divergent Series: Insurgent,20/3/2015,Lionsgate/Summit,6.9,3.17
Friday,Brett Ratner,action,Rush Hour 3,10/8/2007,New Line Cinema,6.2,2.97
Wednesday,"Ron Clements, John Musker",animation,The Princess and the Frog,25/11/2009,Buena Vista Studios,7.2,3.59
Friday,Dennis Dugan,comedy,Grown Ups,25/6/2010,Sony,6,2.81
Wednesday,Roland Emmerich,action,The Patriot,28/6/2000,Sony,6.1,3.22
Friday,Martin Campbell,action,Vertical Limit,8/12/2000,Sony,5.8,2.85
Friday,Roland Emmerich,action,"10,000 B.C.",7/3/2008,WB,5,2.53
Friday,Clint Eastwood,drama,Gran Torino,12/12/2008,WB,8.2,3.99
Friday,Jesse Dylan,comedy,American Wedding,1/8/2003,Universal,7.6,3.85
Friday,Sylvester Stallone,action,The Expendables,13/8/2010,Lionsgate,6.5,3.01
Wednesday,Peter Hyams,action,End of Days,24/11/1999,Universal,5.7,2.68
Friday,Jon Amiel,crime,Entrapment,30/4/1999,Fox,6.2,3.16
Friday,Florian Henckel von Donnersmarck,action,The Tourist,10/12/2010,Sony,6,3.08
Friday,Paul Feig,comedy,Bridesmaids,13/5/2011,Universal,6.8,3.53
Friday,John Singleton,action,2 Fast 2 Furious,6/6/2003,Universal,5.8,2.5
Friday,Ridley Scott,drama,American Gangster,2/11/2007,Universal,7.8,3.83
Friday,Zack Snyder,action,Superman,14/6/2013,WB,7.3,3.38
Friday,Larry Charles,comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3/11/2006,Fox,7.3,3.5
Friday,Josh Boone,drama,The Fault in our Stars,6/6/2014,Fox,7.9,3.58
Wednesday,"Peter Lord, Nick Park",animation,Chicken Run,21/6/2000,DreamWorks,7.1,3.58
Thursday,John Moore,action,A Good Day to Die Hard,14/2/2013,Fox,5.3,2.59
Friday,"Paul Tibbitt, Mike Mitchell",animation,The SpongeBob Movie: Sponge Out of Water,6/2/2015,Paramount Pictures,6.2,2.25
Friday,Peter Berg,action,Battleship,18/5/2012,Universal,5.9,2.83
Thursday,Michael Patrick King,comedy,Sex and the City 2,27/5/2010,WB/New Line,4.2,2.32
Friday,Jonathan Liebesman,action,Wrath of the Titans,30/3/2012,WB,5.8,2.78
Friday,Simon West,action,The Expendables 2,17/8/2012,Lionsgate,6.7,3.08
Friday,Shawn Levy,action,Real Steel,7/10/2011,Buena Vista Studios,6.3,3.28
Friday,Steven Spielberg,adventure,A.I. Artificial Intelligence,29/6/2001,WB,7.1,3.21
Wednesday,Barry Sonnenfeld,action,Wild Wild West,30/6/1999,WB,4.8,2.31
Friday,Ang Lee,action,Hulk,20/6/2003,Universal,5.7,2.69
Friday,"Chris Wedge, Carlos Saldanha",animation,Robots,11/3/2005,Fox,6.3,3.28
Wednesday,Peter Ramsey,animation,Rise of the Guardians,21/11/2012,Pacific Data/DreamWorks,7.3,3.6
Friday,"Brenda Chapman, Steve Hickner, Simon Wells",animation,The Prince of Egypt,18/12/1998,DreamWorks,7,3.42
Friday,Richard Curtis,comedy,Love Actually,7/11/2003,Universal,7.7,3.8
Friday,Phillip Noyce,action,Salt,23/7/2010,Sony,6.4,3.33
Friday,Curtis Hanson,drama,8 Mile,8/11/2002,Universal,6.9,3.25
Friday,Martin Scorsese,drama,Shutter Island,19/2/2010,Paramount Pictures,8.1,3.91
Friday,Paul W.S. Anderson,action,Resident Evil: Afterlife,10/9/2010,Screen Gems,5.9,3.1
Friday,M. Night Shyamalan,mystery,The Village,30/7/2004,Buena Vista Studios,6.5,3.26
Friday,"Aaron Blaise, Robert A. Walker",animation,Brother Bear,24/10/2003,Buena Vista Studios,6.7,3.17
Friday,Hoyt Yeatman,action,G-Force,24/7/2009,Buena Vista Studios,5.1,2.55
Friday,James Wan,horror,The Conjuring,19/7/2013,WB,7.5,3.59
Friday,Olivier Megaton,action,Taken 3,9/1/2015,Fox,6.1,2.88
Friday,H.B. Halicki,action,Gone in 60 Seconds,9/5/2000,Buena Vista Studios,6.5,3.07
Friday,"Steve Martino, Jimmy Hayward",animation,Dr. Seuss' Horton Hears a Who!,14/3/2008,Fox,6.9,3.45
Wednesday,Mel Gibson,action,Braveheart,24/5/1995,Paramount Pictures,8.4,4.05
Friday,Gore Verbinski,horror,The Ring,18/10/2002,DreamWorks,7.1,3.43
Friday,"Steve Hickner, Simon J. Smith",animation,Bee Movie,2/11/2007,Pacific Data/DreamWorks,6.2,3.01
Friday,Stephen Sommers,animation,The Jungle Book,23/12/1994,Disney,7.6,3.38
Friday,Beeban Kidron,comedy,Bridget Jones: The Edge of Reason,12/11/2004,Universal,5.9,2.97
Friday,Steve Oedekerk,comedy,Ace Ventura: When Nature Calls,10/11/1995,WB,6.3,2.62
Friday,Tim Story,action,Fantastic Four: Rise of the Silver Surfer,15/6/2007,Fox,5.6,2.86
Friday,Simon West,action,Con Air,6/6/1997,Buena Vista Studios,6.8,3.19
Friday,"Phil Lord, Chris Miller",comedy,22 Jump Street,13/6/2014,Sony,7.1,3.5
Friday,Roberto Benigni,drama,Life Is Beautiful,23/10/1998,MiraMax,8.6,4.18
Friday,Gus Van Sant,drama,Good Will Hunting,5/12/1997,MiraMax,8.3,4.04
Friday,Joseph McGinty Nichol,action,Charlie's Angels: Full Throttle,27/6/2003,Sony,4.8,2.54
Friday,Dennis Dugan,comedy,Big Daddy,25/6/1999,Sony,6.4,3.12
Friday,Stephen Sommers,action,G.I. Joe: The Rise of Cobra,7/8/2009,Paramount Pictures,5.8,2.85
Friday,"Paul Weitz, Chris Weitz",comedy,American Pie,9/7/1999,Universal,7,3.34
Wednesday,Paul Weitz,comedy,Little Fockers,22/12/2010,Universal,5.4,2.7
Friday,Noam Murro,action,300: Rise of An Empire,7/3/2014,WB,6.3,2.93
Wednesday,Jonathan Demme,drama,Philadelphia,22/12/1993,TriStar,8.8,3.82
Friday,Ang Lee,action,The Incredible Hulk,20/6/2003,Universal,6.9,3.34
Friday,Martin Scorsese,thriller,The Departed,6/10/2006,WB,8.5,4.11
Friday,Wes Ball,action,The Maze Runner,19/9/2014,Fox,6.9,3.38
Friday,"Christopher Williams, Byron Howard",animation,Bolt,21/11/2008,Buena Vista Studios,6.9,3.53
Wednesday,M. Night Shyamalan,fantasy,Unbreakable,22/11/2000,Buena Vista Studios,7.2,3.48
Friday,John Lee Hancock,biography,The Blind Side,20/11/2009,WB,7.7,3.87
Friday,Quentin Tarantino,crime,Pulp Fiction,14/10/1994,MiraMax,8.9,4.16
Friday,Barry Levinson,drama,Disclosure,9/12/1994,WB,6,3.29
Friday,Nancy Meyers,comedy,Something's Gotta Give,12/12/2003,Sony,6.7,3.49
Wednesday,Phillip Noyce,action,Clear and Present Danger,3/8/1994,Paramount Pictures,6.9,3.67
Friday,David Dobkin,comedy,Wedding Crashers,15/7/2005,New Line Cinema,7,3.54
Saturday,Brad Peyton,adventure,Journey 2: The Mysterious Island,11/2/2012,WB,5.8,2.84
Thursday,M. Night Shyamalan,action,The Last Airbender,1/7/2010,Paramount Pictures,4.3,2.36
Friday,Joe Pytka,animation,Space Jam,15/11/1996,WB,6.2,2.73
Friday,Ridley Scott,action,Robin Hood,14/5/2010,Universal,6.7,3.19
Friday,Tom McGrath,animation,Megamind,5/11/2010,Pacific Data/DreamWorks,7.3,3.72
Friday,Anthony Minghella,romance,The English Patient,15/11/1996,MiraMax,7.4,3.65
Friday,Anne Fletcher,comedy,The Proposal,19/6/2009,Buena Vista Studios,6.7,3.52
Friday,Joel Schumacher,action,Batman and Robin,20/6/1997,WB,3.6,3.06
Friday,Michael Bay,action,Bad Boys II,18/7/2003,Sony,6.5,3.09
Friday,Steven Soderbergh,biography,Erin Brockovich,17/3/2000,Universal,7.3,3.6
Wednesday,Raja Gosnell,animation,The Smurfs 2,31/7/2013,Sony,5.4,2.28
Wednesday,"Daniel Myrick, Eduardo Sanchez",horror,The Blair Witch Project,14/7/1999,Art House Studios,6.4,2.88
Friday,"Quentin Tarantino, Eli Roth",adventure,Inglourious Basterds,21/8/2009,Weinstein Company,8.3,4.02
Friday,George Miller,action,Mad Max: Fury Road,15/5/2015,WB,8.5,3.95
Friday,Brett Ratner,action,Rush Hour,18/9/1998,New Line Cinema,6.9,3.41
Friday,Steven Soderbergh,thriller,Ocean's Thirteen,8/6/2007,WB,6.9,3.5
Friday,Baz Luhrmann,drama,The Great Gatsby (2013),10/5/2013,WB,7.3,3.49
Friday,Oliver Stone,thriller,JFK,20/12/1991,WB,6.4,3.2
Friday,Neil Jordan,drama,Interview with the Vampire,11/11/1994,WB,7.6,3.49
Friday,Louis Leterrier,thriller,Now You See Me,31/5/2013,Lionsgate/Summit,7.3,3.54
Friday,Darren Aronofsky,drama,Black Swan,3/12/2010,Fox Searchlight Pictures,8,3.88
Friday,Robert Zemeckis,animation,A Christmas Carol (2009),6/11/2009,Buena Vista Studios,6.9,3.24
Friday,"Dean DeBlois, Chris Sanders",animation,Lilo & Stitch,21/6/2002,Buena Vista Studios,7.1,3.49
Friday,"Chris Renaud, Kyle Balda",animation,Dr. Seuss' The Lorax,2/3/2012,Universal,6.5,3.17
Friday,Shawn Levy,adventure,Night at the Museum: Secret of the Tomb,19/12/2014,Fox,6.3,2.78
Friday,Gabriele Muccino,biography,The Pursuit of Happyness,15/12/2006,Sony,7.9,3.72
Friday,Mike Mitchell,animation,Alvin and the Chipmunks: Chipwrecked,16/12/2011,Fox,4.4,2.11
Friday,Paul Greengrass,action,The Bourne Supremacy,23/7/2004,Universal,7.8,3.85
Friday,Hayao Miyazaki,animation,Spirited Away,20/9/2002,Buena Vista Studios,8.6,4.21
Friday,John Woo,action,Face/Off,27/6/1997,Paramount Pictures,7.1,3.65
Friday,Darren Aronofsky,action,Noah,28/3/2014,Paramount Pictures,5.9,2.84
Friday,"Ray Patterson, Charles Nichols",animation,Scooby-Doo,14/6/2002,WB,4.9,2.4
Friday,Joseph McGinty Nichol,action,Charlie's Angels,3/11/2000,Sony,8.1,3.8
Friday,John McTiernan,action,The Hunt for Red October,2/3/1990,Paramount Pictures,7.6,3.86
Friday,Martin Campbell,action,The Mask of Zorro,17/7/1998,Sony,6.7,3.29
Friday,Tony Scott,action,Enemy of the State,20/11/1998,Buena Vista Studios,7.3,3.54
Friday,Francis Ford Coppola,horror,Bram Stoker's Dracula,13/11/1992,Colombia Pictures,5.6,3.1
