Day of Week,Director,Genre,Movie Title,Release Date,Studio,IMDb Rating,MovieLens Rating
Friday,"Andrew Stanton, Lee Unkrich",animation,Finding Nemo,30/5/2003,Buena Vista Studios,8.2,3.89
Wednesday,Peter Jackson,action,The Lord of the Rings: The Two Towers,18/12/2002,New Line Cinema,8.7,4.1
Wednesday,Roland Emmerich,action,Independence Day,3/7/1996,Fox,6.9,3.4
Friday,Shane Black,action,Iron Man 3,3/5/2013,Buena Vista Studios,7.3,3.68
Friday,Colin Trevorrow,action,Jurassic World,12/6/2015,Universal,7.5,3.45
Friday,Gore Verbinski,action,Pirates of the Caribbean: Dead Man's Chest,7/7/2006,Buena Vista Studios,7.3,3.47
Friday,"Chris Buck, Jennifer Lee",animation,Frozen,22/11/2013,Buena Vista Studios,7.7,3.71
Friday,Chris Columbus,adventure,Harry Potter and the Sorcerer's Stone,16/11/2001,WB,7.5,3.62
Friday,Joss Whedon,action,Avengers: Age of Ultron,1/5/2015,Buena Vista Studios,7.9,3.75
Wednesday,Francis Ford Coppola,crime,The Godfather,15/3/1972,Paramount Pictures,9.2,4.36
Friday,David Yates,fantasy,Harry Potter and the Deathly Hallows Part 2,15/7/2011,WB,8.1,3.96
Friday,Randal Kleiser,musical,Grease,16/6/1978,Paramount Pictures,7.2,3.31
Wednesday,Peter Jackson,fantasy,The Lord of the Rings: The Return of the King,17/12/2003,New Line Cinema,8.9,4.14
Wednesday,George Lucas,sci-fi,Star Wars: Episode I - The Phantom Menace,19/5/1999,Fox,6.6,3.1
Friday,James Wan,action,Furious 7,3/4/2015,Universal,7.6,3.34
Wednesday,Irvin Kershner,sci-fi,The Empire Strikes Back,21/5/1980,Fox,8.8,4.18
Friday,Joss Whedon,action,Marvel's The Avengers,4/5/2012,Buena Vista Studios,8.2,3.95
Wednesday,"Roger Allers, Rob Minkoff",animation,The Lion King,15/6/1994,Buena Vista Studios,8.5,3.78
Friday,Steven Spielberg,adventure,Jurassic Park,11/6/1993,Universal,8.1,3.66
Wednesday,"Wolfgang Reitherman, Clyde Geronimi, Hamilton Luske",animation,101 Dalmatians,25/1/1961,Disney,6.4,3.42
Friday,Steven Spielberg,adventure,E.T.: The Extra-Terrestrial,11/6/1982,Universal,7.9,3.76
Friday,Steven Spielberg,thriller,Jaws,20/6/1975,Universal,8.1,3.81
Tuesday,Richard Fleischer,adventure,Doctor Dolittle,19/12/1967,Fox,5.3,3.01
Wednesday,William Friedkin,horror,The Exorcist,26/12/1973,WB,6.9,3.39
Wednesday,George Lucas,action,Star Wars,25/5/1977,Fox,8.7,4.19
Friday,James Cameron,sci-fi,Avatar,18/12/2009,Fox,7.9,3.78
Wednesday,James Cameron,drama,Titanic,17/12/1997,Paramount Pictures,7.7,3.38
Friday,"George Cukor, Victor Fleming, Sam Wood",drama,Gone with the Wind,15/12/1939,MGM,8.2,3.83
